"","gesture_id","aoi_name","view","count","mean_fixation_duration","median_fixation_duration","sd_fixation_duration"
"1","01","face","view_1",19,3049.84210526316,2072,3108.51283240712
"2","01","face","view_2",20,1997.8,1320,2277.85253438871
"3","01","hands","view_1",6,182,148,72.6085394426854
"4","01","hands","view_2",1,15728,15728,NA
"5","02","face","view_1",19,3447.63157894737,2620,3489.60252767698
"6","02","face","view_2",23,2747.17391304348,1492,3767.9047306545
"7","02","hands","view_1",5,322.4,316,150.535045753472
"8","02","hands","view_2",2,246.5,246.5,139.30003589375
"9","03","face","view_1",21,2423.19047619048,1424,3290.17620529733
"10","03","face","view_2",16,2838.25,1848,3685.35348824686
"11","03","hands","view_1",2,162,162,98.9949493661167
"12","03","hands","view_2",6,2271,328,4736.63910383723
"13","04","face","view_1",28,3575.14285714286,1218,6103.80377890939
"14","04","face","view_2",34,1594.41176470588,960,2350.78363617323
"15","04","hands","view_1",9,412,340,288.929057036498
"16","04","hands","view_2",5,321.6,332,114.668217043782
"17","06","face","view_1",18,7240.5,2356,13086.7442329117
"18","06","face","view_2",21,2398.90476190476,1909,1978.39227416511
"19","06","hands","view_1",6,188,196,69.3743468437722
"20","06","hands","view_2",6,330,256,144.526814121117
"21","07","face","view_1",31,3908.16129032258,864,10336.3454150771
"22","07","face","view_2",29,1839.72413793103,608,2161.0121784636
"23","07","hands","view_1",6,625.333333333333,400,498.680926712328
"24","07","hands","view_2",17,338.117647058824,356,152.692043977798
"25","08","face","view_1",16,7225.5625,2442,13857.7882649373
"26","08","face","view_2",22,2045.68181818182,946,2461.93499945844
"27","08","hands","view_1",16,383.125,258,307.088667977182
"28","08","hands","view_2",8,339.5,332,201.133218113198
"29","10","face","view_1",16,6305.9375,3373.5,12450.4373281624
"30","10","face","view_2",16,2215.75,1408,2314.93998482322
"31","11","face","view_1",25,3830.68,904,10253.7895056738
"32","11","face","view_2",26,2409.69230769231,1110,2961.71543223492
"33","11","hands","view_1",8,262.5,250,190.084943418162
"34","11","hands","view_2",6,602.666666666667,300,518.691687485607
"35","12","face","view_1",20,5762,1338,11943.4141508593
"36","12","face","view_2",23,2771.65217391304,748,4711.72354692088
"37","12","hands","view_1",7,284,260,138.429283992466
"38","12","hands","view_2",6,300.666666666667,266,154.576410446959
"39","13","face","view_1",33,4077.75757575758,1392,9430.13078524863
"40","13","face","view_2",33,3358.90909090909,1432,4541.90491674223
"41","13","hands","view_1",7,332.714285714286,232,288.168188323945
"42","13","hands","view_2",8,241,178,96.3268246277076
"43","14","face","view_1",15,3977.4,3080,5596.87057712994
"44","14","face","view_2",19,3884,1492,5171.42421818636
"45","14","hands","view_2",1,496,496,NA
"46","15","face","view_1",13,8220.38461538462,3360,14297.9916278386
"47","15","face","view_2",14,3556.85714285714,1868,4053.50770904074
"48","15","hands","view_1",3,1832,388,2598.67966475285
"49","15","hands","view_2",2,684,684,339.411254969543
"50","16","face","view_1",9,4755.22222222222,3204,4381.30841695086
"51","16","face","view_2",12,4759,950,8501.48994428196
"52","16","hands","view_1",3,566.666666666667,332,438.001522067371
"53","16","hands","view_2",3,398.666666666667,444,141.553287963697
"54","17","face","view_1",16,2801.6875,1324,3619.29115930638
"55","17","face","view_2",17,2725.11764705882,1492,4527.42236104542
"56","17","hands","view_1",9,1632,232,3187.72081588084
"57","17","hands","view_2",11,3218.54545454545,268,7518.24602368979
"58","18","face","view_1",18,3332.83333333333,2080,3704.91079911673
"59","18","face","view_2",19,3811.57894736842,956,6875.54557282377
"60","18","hands","view_1",7,250.285714285714,208,102.913741041894
"61","18","hands","view_2",9,265.333333333333,240,103.614670775909
"62","19","face","view_1",26,2889.53846153846,1546,3581.46238545954
"63","19","face","view_2",26,3023.84615384615,1060,5277.82130574583
"64","19","hands","view_1",8,753,278,1130.25256343123
"65","19","hands","view_2",4,370,324,176.771038351875
"66","20","face","view_1",14,3441.5,1902,3784.45481796662
"67","20","face","view_2",14,2786.92857142857,1016,3625.40447535032
"68","20","hands","view_1",4,220,250,67.3300329224138
"69","20","hands","view_2",3,1230.66666666667,1044,1040.6331406088
"70","21","face","view_1",14,3751,2270,3557.89434270414
"71","21","face","view_2",15,2755.2,1548,3444.99803441785
"72","21","hands","view_1",4,374,366,185.34292541125
"73","21","hands","view_2",3,208,216,32.7414110874898
"74","22","face","view_1",21,3365.42857142857,2876,3078.24996664385
"75","22","face","view_2",20,2812.2,1620,3136.8574217217
"76","22","hands","view_1",2,268,268,130.107647738325
"77","22","hands","view_2",6,205.333333333333,150,143.636578442494
